Make,Engine.Type,Number.of.Engines,Total_aircrafts
Airbus,Turbo Fan,2.0,17
Airbus Industrie,Turbo Fan,2.0,11
Beech,Reciprocating,2.0,12
Beech,Turbo Prop,2.0,11
Bell,Turbo Shaft,1.0,13
Boeing,Turbo Fan,2.0,61
Boeing,Turbo Fan,3.0,10
Boeing,Turbo Fan,4.0,13
Bombardier Inc,Turbo Fan,2.0,10
Cessna,Reciprocating,1.0,107
Cessna,Reciprocating,2.0,17
Embraer,Turbo Fan,2.0,10
North American,Reciprocating,1.0,12
Piper,Reciprocating,1.0,37
Piper,Reciprocating,2.0,16
